00401000  type_info_destructor_dealloc
00401020  _Unknown_Destructor
00401090  HiddenCtrl_Destructor
004010E0  somePlayImageCrapThatCrashes
00401100  hideImage
00401120  showImage
00401140  setAllOverlayDirectionsGeneric
00401170  unitIsOwnerByCurrentPlayer
004011A0  unitSetRetreatPoint
004011F0  unitIsGoliath
00401210  isUnitCasterWithNoEnergyUpgrade
00401240  isDistanceGreaterThanHaltDistance
00401270  Game_Hdr_Node_Destructor
004012C0  Saved_Game_Node_Destructor
00401310  sub_401310
00401360  setUnitPathing
004013B0  setUnitEnergy
00401400  getMaximumHP
00401430  unitIsTrap
00401450  unitIsHangerUnit
00401470  unitIsCarrier
00401490  unitIsReaver
004014B0  unitHasHanger
004014E0  getPowerupUnit
00401500  unitIsTrainingOrMorphing
00401570  unitIsGhost
004015A0  Streamed_SFX_Cleanup
004015F0  Streamed_SFX_FullDestructor
00401650  Streamed_SFX_Destructor
004016A0  Provider_Destructor
004016F0  _ID_Destructor
00401740  _ID_Destructor2
004017B0  sub_4017B0
00401860  GameNode_Destructor
004018B0  GameNode_Destructor_0_sub
00401920  SaveGame_Destructor
00401970  _unk_destructor_sub
004019B0  List_Destructor
00401A10  Device_Destructor
00401A60  PhoneNumber_Destructor
00401AB0  PhoneNumber_Destructor_0
00401B20  DrawText_Destructor
00401B70  DrawText_Destructor_0
00401BE0  Template_Destructor
00401C30  Template_Destructor_0
00401CA0  ListEntry_Destructor
00401CF0  unitIsActiveResourceDepot
00401D40  unitIsSubunit
00401D60  unitCanSeeCloakedTarget
00401DA0  resetSubunitTarget
00401DC0  getUnitMovableState
00401DF0  getImageAttackFrame
00401E40  setSpriteMainImgOffset
00401E70  isQueueSlotActive
00401EA0  updateUnitTransportData
00401FA0  fixTargetLocation
00402020  getAbsoluteUnitBounds
00402070  getAbsoluteUnitBoundsFromTarget
004020B0  unitIsFrozen
004020F0  fixTargetPoint
00402140  getUnitDistanceToHalt
00402160  isUnitPositions2Equal
00402210  CC_CanBeInfested
00402270  unitHPbetween33_66_percent
004022C0  unitHPbelow33_percent
00402310  unitIsPerformingUnbreakableCode
00402330  TriggerNode_Destructor
00402380  IsTargNotVisibleCB
00402440  isTargVisibleCB
00402500  sub_402500
00402570  sub_402570
004025E0  BNetMessage_Destructor
00402630  BNetMessage_Destructor_0
004026A0  setFlagHoldPosition
004026D0  GetCurrentHitPointsPlusShields
00402710  GetTotalHitPointsPlusShields
00402750  canInfest
00402770  allTilesInRectAreVisibleFor
004027F0  allTilesInRectAreExploredFor
00402870  FileDownloadSession_Destructor
004028E0  Ban_Destructor
00402930  _unk_Destructor_20
004029B0  sub_4029B0
00402A00  sub_402A00
00402A70  isUnitBurrowed
00402A90  sub_402A90
00402B10  getDoubleUnitBoundingBoxMashup
00402BA0  sub_402BA0
00402BE0  sub_402BE0
00402C20  unitTypeIsHatcheryType
00402C40  getHPGainForRepair
00402C60  detailFinder_ctor
00402D10  packDetailFinderData
00402FB0  unpackDetailFinderData
00403030  sub_403030
00403080  SaveGame_Destructor_0
004030D0  toggleUnitPathingProperties
00403130  resetAIThreadData
00403230  packAIThreadData
00403310  unpackAIThreadData
00403380  AI_Stop
004033D0  isUnitUpgradeAvailable
00403430  unitHasNoStatusAilments
00403480  packAICaptainData
004035B0  unpackAICaptainData
00403650  resetPathingData
004036D0  packPathingData
00403780  unpackAllPathingData
00403AE0  sub_403AE0
00403CB0  unpackTownMgr_03_Unit_Data
00403DB0  sub_403DB0
00403E50  sub_403E50
004041F0  unpackTownMgr_01_Data
00404280  sub_404280
00404350  sub_404350
00404410  unpackTownMgr_02_Data
00404470  sub_404470
004044C0  sub_4044C0
00404500  AI_TownInfo
00404550  sub_404550
00404620  sub_404620
004046D0  unpackTownMgr_03_Data
00404750  sub_404750
00404790  sub_404790
00404810  getDoubleUnitBoundingBoxMashup_0
004048B0  AreaFixup_Destructor
00404920  sub_404920
004049A0  sub_4049A0
004049D0  sub_4049D0
00404A10  BltMask_Destructor
00404A60  CtrlNode_Destructor
00404AD0  DlgGrp_Destructor
00404B20  sub_404B20
00404B70  ChunkNode_Destructor
00404BC0  sub_404BC0
00404BD8  __amsg_exit
00404BFD  _fast_error_exit
00404C21  start
00404DF6  _CorExitProcess
00404E26  __lockexit
00404E2F  __unlockexit
00404E38  __initterm
00404E50  __cinit
00404EBA  _doexit
00404F7D  _exit
00404F8E  __exit
00404F9F  __cexit
00404FAE  __c_exit
00404FBD  __NMSG_WRITE
00405134  __FF_MSGBANNER
0040516D  __XcptFilter
004052D1  __wincmdln
0040532E  __setenvp
004053F5  _parse_cmdline
00405561  __setargv
00405603  ___crtGetEnvironmentStringsA
00405725  __ioinit
00405923  __RTC_Initialize
00405967  __RTC_Terminate
004059AB  _TlsAlloc
004059B4  __mtterm
004059D1  __initptd
004059E4  __getptd
00405A55  _freefls(x)
00405B82  ___unlock_17
00405B90  ___unlock_16
00405B9C  __freeptd
00405BCB  __mtinit
00405CBA  ___heap_select
00405CD4  __heap_init
00405D28  __SEH_prolog
00405D63  __SEH_epilog
00405D7C  __except_handler3
00405E80  __alloca_probe
00405EBD  __mtinitlocks
00405F06  __mtdeletelocks
00405F5B  __unlock
00405F70  __mtinitlocknum
00406007  ___unlock_15
00406010  __lock
00406041  __onexit_lk
004060C1  ___onexitinit
004060E9  __onexit
0040611B  ___unlockexit
00406121  _atexit
00406133  ___crtMessageBoxA
00406230  _strcpy
00406330  _strncpy
00406460  _strlen
00406508  eax_to_1
0040650C  __report_failure
0040652A  _x_ismbbtype
0040655D  __ismbblead
0040656E  _CPtoLCID
0040659D  _setSBCS
004065C6  _setSBUpLow
00406752  ___updatetmbcinfo
004067B5  ___updatetmbcinfo_unlock
004067C1  __setmbcp_lk
00406951  __setmbcp
00406A98  __setmbcp_unlock
00406AA1  ___initmbctable
00406ABF  _free
00406B12  _free_unlock
00406B30  __heap_alloc
00406B9F  __heap_alloc_unlock
00406BAB  __nh_malloc
00406BD7  _malloc
00406BF0  _memcpy
00406C4C  CopyUnwindUp
00406C60  LeadUp1
00406C8C  LeadUp2
00406CB0  LeadUp3
00406CF0  UnwindUp7
00406DEC  LeadDown1
00406E10  LeadDown2
00406E38  LeadDown3
00406E8C  UnwindDown7
00406F2D  __crtInitCritSecNoSpinCount(x,x)
00406F3D  ___crtInitCritSecAndSpinCount
00406FC8  _calloc
0040706F  _calloc_unlock
00407083  ___freetlocinfo
00407153  ___updatetlocinfo_lk
00407214  ___updatetlocinfo
00407246  ___updatetlocinfo_unlock
0040724F  ___sbh_heap_init
00407297  ___sbh_find_block
004072C2  ___sbh_free_block
004075DA  ___sbh_alloc_new_region
00407691  ___sbh_alloc_new_group
00407797  ___sbh_resize_block
00407A76  ___sbh_alloc_block
00407D74  __global_unwind2
00407D94  __unwind_handler
00407DB6  __local_unwind2
00407E4A  __NLG_Notify
00407E62  __ValidateEH3RN
0040808B  __errno
00408094  ___doserrno
0040809D  __dosmaperr
00408110  _realloc
00408270  _realloc_unlock
004082BD  __msize
00408327  __msize_unlock
00408333  ___security_init_cookie
00408399  ___security_error_handler
004084E1  ___crtLCMapStringA
0040889D  ___crtGetStringTypeA
00408A57  __callnewh
00408A80  _memset
00408AE0  __free_lc_time
00408C70  ___free_lconv_num
00408CCF  ___free_lconv_mon
00408E00  _strcmp
00408F50  _strncmp
00408F90  _strpbrk
00408FD0  _memcpy_0
00409040  LeadUp1_0
0040906C  LeadUp2_0
00409090  LeadUp3_0
004091CC  LeadDown1_0
004091F0  LeadDown2_0
00409218  LeadDown3_0
0040926C  UnwindDown7_0
0040930D  ___ansicp
00409350  ___convertcp
00409519  __resetstkoflw
004095FC  __tzset_lk
00409812  __tzset_lk_unlock
004098A4  _cvtdate
00409A5C  __isindst_lk
00409BE3  ___tzset
00409C26  ___tzset_unlock
00409C2F  __isindst
00409C64  __isindst_unlock
00409C70  ___ascii_stricmp
00409CBE  __stricmp
00409D27  _atol
00409DAF  __strnicmp
00409E2E  _getenv
00409EAF  _isalpha
00409EEE  _isdigit
00409F28  _isspace
00409F62  _isprint
00409FA1  ___tolower_mt
0040A069  _tolower
0040A08B  ___isctype_mt
0040A150  ___ascii_strnicmp
0040A1C0  __aulldvrm
0040A255  __mbsnbicoll
0040A2A3  ___wtomb_environ
0040A333  _strncnt
0040A34F  ___crtCompareStringA
0040A6D3  _findenv
0040A720  _copy_environ
0040A781  ___crtsetenv
0040A956  __strdup
0040A981  __mbschr
0040AA10  _strchr
0040AACE  RtlUnwind
0040AAE0  sub_40AAE0
0040ABBE  imageRenderFxn0_0
0040AD04  sub_40AD04
0040AE63  sub_40AE63
0040AFD5  sub_40AFD5
0040B155  imageRenderFxn3_0
0040B2D3  imageRenderFxn8_0
0040B441  imageRenderFxn17_0_cntd
0040B596  imageRenderFxn9_0
0040B6F0  imageRenderFxn10_0
0040B824  imageRenderFxn5_2__1_common
0040B9A9  imageRenderFxn3_1
0040BB2E  imageRenderFxn8_1
0040BCA3  imageRenderFxn9_1
0040BE04  imageRenderFxn17_1_cntd
0040BF60  imageRenderFxn0_1
0040C0AE  imageRenderFxn10_1
0040C200  BlitToBitmap
0040C253  drawTilesToScreen
0040C2BD  BlitToGameBitmap
0040C300  getDistancePrecise
0040C360  getDistanceFast
0040C3B0  getTileImageData
0040C4D2  sub_40C4D2
0040C530  _strrchr
0040C55D  type_info::~type_info(void)
0040C59A  type_info_destructor_exitproc
0040C5A3  type_info::`scalar deleting destructor'(uint)
0040C5BF  type_info__szName
