01 sora_scene.rel
02 sora_menu_main.rel
03 sora_menu_tour.rel
04 sora_menu_qm.rel
05 sora_menu_edit.rel
06 sora_menu_collect_viewer.rel
07 sora_menu_replay.rel
08 sora_menu_snap_shot.rel
09 sora_menu_event.rel
0A sora_menu_sel_char.rel
0B sora_menu_sel_stage.rel
0C sora_menu_game_over.rel
0D sora_menu_intro.rel
0E sora_menu_friend_list.rel
0F sora_menu_watch.rel
10 sora_menu_name.rel
11 sora_menu_sel_char_access.rel
12 sora_menu_rule.rel
13 sora_menu_simple_ending.rel
14 sora_minigame.rel
15 sora_menu_time_result.rel
16 sora_menu_boot.rel
17 sora_menu_challenger.rel
18 sora_menu_title.rel
19 sora_menu_title_sunset.rel
1A sora_menu_fig_get_demo.rel
1B sora_melee.rel
1C sora_adv_menu_name.rel
1D sora_adv_menu_visual.rel
1E sora_adv_menu_sel_char.rel
1F sora_adv_menu_sel_map.rel
20 sora_adv_menu_difficulty.rel
21 sora_adv_menu_game_over.rel
22 sora_adv_menu_result.rel
23 sora_adv_menu_save_load.rel
24 sora_adv_menu_seal.rel
25 sora_adv_menu_ending.rel
26 sora_adv_menu_telop.rel
27 sora_adv_menu_save_point.rel
28 sora_adv_stage.rel
29 sora_enemy.rel
2A st_battles.rel
2B st_battle.rel
2C st_config.rel
2D st_final.rel
2E st_dolpic.rel
2F st_mansion.rel
30 st_mariopast.rel
31 st_kart.rel
32 st_donkey.rel
33 st_jungle.rel
34 st_pirates.rel
35 st_oldin.rel
36 st_norfair.rel
37 st_orpheon.rel
38 st_crayon.rel
39 st_halberd.rel
3A st_starfox.rel
3B st_stadium.rel
3C st_tengan.rel
3D st_fzero.rel
3E st_ice.rel
3F st_gw.rel
40 st_emblem.rel
41 st_madein.rel
42 st_earth.rel
43 st_palutena.rel
44 st_famicom.rel
45 st_newpork.rel
46 st_village.rel
47 st_metalgear.rel
48 st_greenhill.rel
49 st_pictchat.rel
4A st_plankton.rel
4B st_dxshrine.rel
4C st_dxyorster.rel
4D st_dxgarden.rel
4E st_dxonett.rel
4F st_dxgreens.rel
50 st_dxrcruise.rel
51 st_dxbigblue.rel
52 st_dxcorneria.rel
53 st_dxpstadium.rel
54 st_dxzebes.rel
55 st_stageedit.rel
56 st_otrain.rel
57 st_heal.rel
58 st_homerun.rel
59 st_tbreak.rel
5A st_croll.rel
5B ft_mario.rel
5C ft_donkey.rel
5D ft_link.rel
5E ft_samus.rel
5F ft_yoshi.rel
60 ft_kirby.rel
61 ft_fox.rel
62 ft_pikachu.rel
63 ft_luigi.rel
64 ft_captain.rel
65 ft_ness.rel
66 ft_koopa.rel
67 ft_peach.rel
68 ft_zelda.rel
69 ft_iceclimber.rel
6A ft_marth.rel
6B ft_gamewatch.rel
6C ft_falco.rel
6D ft_ganon.rel
6E ft_wario.rel
6F ft_metaknight.rel
70 ft_pit.rel
71 ft_pikmin.rel
72 ft_lucas.rel
73 ft_diddy.rel
74 ft_poke.rel
75 ft_dedede.rel
76 ft_lucario.rel
77 ft_ike.rel
78 ft_robot.rel
79 ft_toonlink.rel
7A ft_snake.rel
7B ft_sonic.rel
7C ft_purin.rel
7D ft_wolf.rel
7E ft_zako.rel
