00401000        _SMemFree                                    
00401020        sub_401020                                   
00401090        _?AU_HIDDENCTRL@@_0                          
004010E0        sub_4010E0                                   
00401100        sub_401100                                   
00401120        sub_401120                                   
00401140        sub_401140                                   
00401170        sub_401170                                   
004011A0        sub_4011A0                                   
004011F0        unit_isGoliath                               
00401210        sub_401210                                   
00401240        sub_401240                                   
00401270        _?AUTGAME_HDR_NODE@@_0                       
004012C0        _?AUTSAVED_GAME_NODE@@_0                     
00401310        sub_401310                                   
00401360        sub_401360                                   
004013B0        sub_4013B0                                   
00401400        sub_401400                                   
00401430        unit_isTrap                                  
00401450        unit_isHangerUnit                            
00401470        unit_isCarrier                               
00401490        unit_isReaver                                
004014B0        unit_hasHanger                               
004014E0        sub_4014E0                                   
00401500        sub_401500                                   
00401570        unit_isGhost                                 
004015A0        sub_4015A0                                   
004015F0        _?AUSTREAMED@@_1                             
00401650        _?AUSTREAMED@@_0                             
004016A0        _?AUTPROVIDER@@_0                            
004016F0        _?AU_ID@@_2                                  
00401740        _?AU_ID@@_1                                  
004017B0        sub_4017B0                                   
00401860        _?AU_GAMENODE@@_1                            
004018B0        _?AU_GAMENODE@@_0                            
00401920        _?AU_SAVEGAME@@_0                            
00401970        sub_401970                                   
004019B0        sub_4019B0                                   
00401A10        _?AU_DEVICE@@                                
00401A60        _?AU_PHONENUMBER@@                           
00401AB0        _?AU_PHONENUMBER@@_0                         
00401B20        _?AU_DRAWTEXT@@_2                            
00401B70        _?AU_DRAWTEXT@@_1                            
00401BE0        _?AUTTEMPLATE@@                              
00401C30        _?AUTTEMPLATE@@_0                            
00401CA0        _?AULISTENTRY@@_1                            
00401CF0        sub_401CF0                                   
00401D40        sub_401D40                                   
00401D60        sub_401D60                                   
00401DA0        sub_401DA0                                   
00401DC0        sub_401DC0                                   
00401DF0        sub_401DF0                                   
00401E40        sub_401E40                                   
00401E70        sub_401E70                                   
00401EA0        sub_401EA0                                   
00401FA0        sub_401FA0                                   
00402020        sub_402020                                   
00402070        sub_402070                                   
004020B0        sub_4020B0                                   
004020F0        sub_4020F0                                   
00402140        sub_402140                                   
00402160        sub_402160                                   
00402210        sub_402210                                   
00402270        sub_402270                                   
004022C0        sub_4022C0                                   
00402310        sub_402310                                   
00402330        _?AUTRIGGERNODE@@                            
00402380        sub_402380                                   
00402440        sub_402440                                   
00402500        sub_402500                                   
00402570        sub_402570                                   
004025E0        _?AUTBNETMESSAGE@@                           
00402630        _?AUTBNETMESSAGE@@_0                         
004026A0        sub_4026A0                                   
004026D0        sub_4026D0                                   
00402710        sub_402710                                   
00402750        unit_isQueen                                 
00402770        sub_402770                                   
004027F0        sub_4027F0                                   
00402870        _?AUTFD_SESSION@@                            
004028E0        _?AUTBAN@@                                   
00402930        sub_402930                                   
004029B0        sub_4029B0                                   
00402A00        sub_402A00                                   
00402A70        sub_402A70                                   
00402A90        sub_402A90                                   
00402B10        sub_402B10                                   
00402BA0        sub_402BA0                                   
00402BE0        sub_402BE0                                   
00402C20        unit_spawnsLarva                             
